Round,expt_n,environment_info,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
0,0,Simulated NBD,1.0000,0.7700,0.8682,0.9421,0.0000,0.0753,0.0481,0.0228,0.5203,0.6950,0.5934,0.5469,0.0907,0.1343,0.1025,0.0940,0.5053,0.9800,0.6666,0.5594,0.0092,0.0350,0.0123,0.0096,0.4380,0.1050,0.1651,0.2574,0.2421,0.0497,0.0721,0.1120,models/0_0_Dasic_NoNBD__RF_Model_28-Jun-2023_12-16.mdl,49.7058,13.4552,1.0105,12.9602
0,1,Simulated LBD,1.0000,0.6350,0.7754,0.8956,0.0000,0.0580,0.0426,0.0225,0.5687,0.2900,0.3788,0.4704,0.1484,0.1174,0.1282,0.1355,0.5065,0.9900,0.6701,0.5613,0.0126,0.0211,0.0152,0.0135,0.1750,0.0250,0.0435,0.0786,0.1942,0.0264,0.0459,0.0834,models/0_1_Dasic_LowNBD__RF_Model_28-Jun-2023_12-17.mdl,49.0078,13.3970,1.0193,11.6794
0,2,Simulated HBD,0.9551,0.9100,0.9305,0.9447,0.0420,0.0568,0.0326,0.0324,0.4841,0.5250,0.5011,0.4902,0.0609,0.1161,0.0780,0.0653,0.3500,0.0300,0.0542,0.1064,0.3885,0.0258,0.0468,0.0935,0.4229,0.1500,0.2190,0.3058,0.1903,0.0882,0.1188,0.1517,models/0_2_Dasic_HighNBD__RF_Model_28-Jun-2023_12-18.mdl,48.7895,12.9540,0.9724,11.3697
0,3,PHM C01 SS NBD,0.9929,0.5700,0.7204,0.8603,0.0226,0.0856,0.0682,0.0390,0.5465,0.4300,0.4755,0.5136,0.0972,0.0888,0.0764,0.0801,0.2250,0.0300,0.0526,0.0965,0.2081,0.0258,0.0453,0.0838,0.5169,0.3750,0.4326,0.4787,0.0831,0.0825,0.0792,0.0788,models/0_3_PHM_C01_SS_NoNBD__RF_Model_28-Jun-2023_12-20.mdl,148.2855,14.4098,1.0861,14.1098
0,4,PHM C01 SS LBD,0.9093,0.6750,0.7726,0.8484,0.0465,0.0589,0.0386,0.0339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7693,0.9800,0.8617,0.8038,0.0280,0.0258,0.0223,0.0256,0.5996,0.4250,0.4959,0.5527,0.1395,0.1061,0.1176,0.1287,models/0_4_PHM_C01_SS_LowNBD__RF_Model_28-Jun-2023_12-23.mdl,159.4974,13.4857,1.1050,12.7339
0,5,PHM C01 SS HBD,0.9394,0.6750,0.7827,0.8687,0.0606,0.0858,0.0646,0.0543,0.5066,0.7950,0.6180,0.5458,0.0496,0.0985,0.0624,0.0533,0.2667,0.0250,0.0451,0.0878,0.4389,0.0425,0.0760,0.1459,0.4139,0.1600,0.2260,0.3059,0.1498,0.0738,0.0963,0.1208,models/0_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_12-26.mdl,67.6608,18.4149,1.2646,11.7238
0,6,PHM C04 SS NBD,0.5000,1.0000,0.6667,0.5556,0.0000,0.0000,0.0000,0.0000,0.4286,0.3350,0.3722,0.4027,0.0754,0.0973,0.0814,0.0740,0.5000,0.9850,0.6633,0.5546,0.0085,0.0242,0.0120,0.0095,0.4155,0.0850,0.1394,0.2292,0.3257,0.0747,0.1185,0.1873,models/0_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_12-27.mdl,164.8852,13.7590,1.2163,12.3503
0,7,PHM C04 SS LBD,0.6181,0.9850,0.7593,0.6677,0.0205,0.0242,0.0181,0.0196,0.5233,0.5200,0.5170,0.5196,0.0769,0.1160,0.0871,0.0779,0.6167,0.0550,0.0993,0.1942,0.4585,0.0497,0.0870,0.1598,0.2667,0.0400,0.0689,0.1225,0.2071,0.0316,0.0536,0.0932,models/0_7_PHM_C04_SS_LowNBD__RF_Model_28-Jun-2023_12-31.mdl,144.1027,13.9586,1.0747,12.4725
0,8,PHM C04 SS HBD,0.7320,0.9250,0.8156,0.7630,0.0496,0.0425,0.0289,0.0409,0.4933,0.5200,0.5042,0.4971,0.0833,0.1274,0.0988,0.0878,0.5014,0.9750,0.6621,0.5553,0.0182,0.0425,0.0239,0.0199,0.3658,0.0900,0.1419,0.2205,0.1846,0.0699,0.1000,0.1358,models/0_8_PHM_C04_SS_HighNBD__RF_Model_28-Jun-2023_12-33.mdl,135.6539,28.9534,2.8245,27.1914
0,9,PHM C06 SS NBD,0.8481,0.9950,0.9153,0.8737,0.0344,0.0158,0.0202,0.0289,0.5030,0.4500,0.4714,0.4887,0.1001,0.1179,0.1059,0.1007,0.0667,0.0100,0.0174,0.0313,0.2108,0.0316,0.0550,0.0988,0.5123,0.1950,0.2780,0.3786,0.1773,0.0832,0.1088,0.1373,models/0_9_PHM_C06_SS_NoNBD__RF_Model_28-Jun-2023_12-37.mdl,185.8956,27.1203,1.4236,14.1069
