#{"t_start": 1686907892.3570275, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.183556
-200.0,200,0.311283
-200.0,200,0.440449
-200.0,200,0.556169
-200.0,200,0.668931
-200.0,200,0.787609
-200.0,200,0.901367
-200.0,200,1.02404
-200.0,200,1.138762
-200.0,200,1.251491
-200.0,200,2.742905
-200.0,200,2.934474
-200.0,200,3.115037
-200.0,200,3.274652
-200.0,200,3.426811
-200.0,200,3.569494
-200.0,200,3.717307
-200.0,200,3.861925
-200.0,200,4.007572
-200.0,200,4.147261
-200.0,200,6.452796
-200.0,200,6.664284
-200.0,200,6.849807
-200.0,200,7.059301
-200.0,200,7.248028
-200.0,200,7.43258
-200.0,200,7.610147
-200.0,200,7.781735
-200.0,200,7.953002
-200.0,200,8.119601
-200.0,200,10.449879
-200.0,200,10.668353
-200.0,200,10.843929
-200.0,200,11.006553
-200.0,200,11.167168
-200.0,200,11.313812
-200.0,200,11.454473
-200.0,200,11.594163
-200.0,200,11.751783
-200.0,200,11.913421
-200.0,200,14.288258
-200.0,200,14.538684
-200.0,200,14.751141
-200.0,200,14.953681
-200.0,200,15.12524
-200.0,200,15.309793
-200.0,200,15.470432
-200.0,200,15.633042
-200.0,200,15.794668
-200.0,200,15.957276
-200.0,200,16.130877
-200.0,200,18.706804
-200.0,200,18.96399
-200.0,200,19.200421
-200.0,200,19.440842
-200.0,200,19.638363
-200.0,200,19.810972
-200.0,200,19.975603
-200.0,200,20.173097
-200.0,200,20.339722
-200.0,200,20.491327
-200.0,200,22.257107
-200.0,200,22.434228
-200.0,200,22.576882
-200.0,200,22.702581
-200.0,200,22.819296
-200.0,200,22.931747
-200.0,200,23.064426
-200.0,200,23.179117
-200.0,200,23.294839
-200.0,200,23.405602
-200.0,200,24.819409
-200.0,200,24.985024
-200.0,200,25.113227
-200.0,200,25.233953
-200.0,200,25.348676
-200.0,200,25.460407
-200.0,200,25.573155
-200.0,200,25.685914
-200.0,200,25.799608
-200.0,200,25.91137
-200.0,200,27.240664
-200.0,200,27.397285
-200.0,200,27.524979
-200.0,200,27.639722
-200.0,200,27.753448
-200.0,200,27.869169
-200.0,200,27.984912
-200.0,200,28.098636
-200.0,200,28.210368
-200.0,200,28.323096
-200.0,200,28.434825
-200.0,200,29.871394
-200.0,200,30.017044
-200.0,200,30.133763
-200.0,200,30.25052
-200.0,200,30.389452
-200.0,200,30.522131
-200.0,200,30.639884
-200.0,200,30.763551
-200.0,200,30.890267
-200.0,200,31.009977
-200.0,200,32.328829
-200.0,200,32.478467
-200.0,200,32.60619
-200.0,200,32.727864
-200.0,200,32.84558
-200.0,200,32.960305
-200.0,200,33.078037
-200.0,200,33.19276
-200.0,200,33.308482
-200.0,200,33.441161
-200.0,200,34.881721
-200.0,200,35.039357
-200.0,200,35.165053
-200.0,200,35.285762
-200.0,200,35.419439
-200.0,200,35.543141
-200.0,200,35.667374
-200.0,200,35.789082
-200.0,200,35.919797
-200.0,200,36.050451
-200.0,200,37.575808
-200.0,200,37.752396
-200.0,200,37.887106
-200.0,200,38.011352
-200.0,200,38.130069
-200.0,200,38.263712
-200.0,200,38.39242
-200.0,200,38.530203
-200.0,200,38.654935
-200.0,200,38.771623
-200.0,200,38.88834
-200.0,200,40.412679
-200.0,200,40.558329
-200.0,200,40.69799
-200.0,200,40.8187
-200.0,200,40.933422
-200.0,200,41.049144
-200.0,200,41.163867
-200.0,200,41.287581
-200.0,200,41.408323
-200.0,200,41.523194
-200.0,200,42.840001
-200.0,200,42.993156
-200.0,200,43.119882
-200.0,200,43.245577
-200.0,200,43.391226
-200.0,200,43.502956
-200.0,200,43.615673
-200.0,200,43.728401
-200.0,200,43.842128
-200.0,200,43.954434
-200.0,200,45.328304
-200.0,200,45.489915
-200.0,200,45.646535
-200.0,200,45.772234
-200.0,200,45.908941
-200.0,200,46.04162
-200.0,200,46.170305
-200.0,200,46.290015
-200.0,200,46.405704
-200.0,200,46.520428
-200.0,200,47.970674
-200.0,200,48.124829
-200.0,200,48.254517
-200.0,200,48.38323
-200.0,200,48.504935
-200.0,200,48.61866
-200.0,200,48.733384
-200.0,200,48.862074
-200.0,200,48.978823
-200.0,200,49.10951
-200.0,200,49.229188
-200.0,200,50.807966
-200.0,200,50.9606
-200.0,200,51.097828
-200.0,200,51.217507
-200.0,200,51.331231
-200.0,200,51.444958
-200.0,200,51.566663
-200.0,200,51.678393
-200.0,200,51.790123
-200.0,200,51.909836
-200.0,200,53.338564
-200.0,200,53.48573
-200.0,200,53.607435
-200.0,200,53.722159
-200.0,200,53.833888
-200.0,200,53.944621
-200.0,200,54.056351
-200.0,200,54.171076
-200.0,200,54.285813
-200.0,200,54.400534
-200.0,200,55.830473
-200.0,200,55.988093
-200.0,200,56.115787
-200.0,200,56.235596
-200.0,200,56.349753
-200.0,200,56.468468
-200.0,200,56.581195
-200.0,200,56.693923
